Vardas                  Pavarde                      ND1       ND2       ND3       ND4       ND5       ND6       ND7       EGZ
Vardas11782         Pavarde11782                     10         5         8         9         6         4        10         3
Vardas11783         Pavarde11783                      1         6         4        10         4         1         7         7
Vardas11784         Pavarde11784                      1         9         5         6         9         6         6         2
Vardas11785         Pavarde11785                      5         8         4        10         4         5        10         7
Vardas11786         Pavarde11786                      8         8         4         2         2         9        10         1
Vardas11787         Pavarde11787                      8         1         4         7        10         2         1         2
Vardas11788         Pavarde11788                      1         5        10         4         9         8        10         7
Vardas11789         Pavarde11789                      4         7         4         6        10         7         7         6
Vardas11790         Pavarde11790                      5        10         1         7         2         8         2         5
Vardas11791         Pavarde11791                      5         1         7         5         8        10         6         4
Vardas11792         Pavarde11792                      4         6         1         4         8         3         5         2
Vardas11793         Pavarde11793                      6         4         4        10         9         1         1         6
Vardas11794         Pavarde11794                      5         5         7         9        10         2         9         6
Vardas11795         Pavarde11795                      1         9        10         5         3         7         8         9
Vardas11796         Pavarde11796                      7         7         4         3         2         1         2         4
Vardas11797         Pavarde11797                      5         3         5         9         1         6         2         3
Vardas11798         Pavarde11798                      6        10         9         6         8         3         6         2
Vardas11799         Pavarde11799                      5         5         3         6        10        10         5         3
Vardas11800         Pavarde11800                     10         9         2         6         1         4         3         7
Vardas11801         Pavarde11801                      8         4         4         6        10         5         8         5
Vardas11802         Pavarde11802                      7         1        10         7         4         5         4         8
Vardas11803         Pavarde11803                      6         9         4         3         1         9         2         2
Vardas11804         Pavarde11804                      1         8         6        10         6         2         1         2
Vardas11805         Pavarde11805                      7         3         6         4        10         6         5         1
Vardas11806         Pavarde11806                      5         1         1         7         6         3         1         2
Vardas11807         Pavarde11807                     10         4         8         4         3         3         2         4
Vardas11808         Pavarde11808                      3         9         6         9         4         8         3         8
Vardas11809         Pavarde11809                      3         6         9         7         8         2         5         7
Vardas11810         Pavarde11810                      8         6         4         6         2         6         9         9
Vardas11811         Pavarde11811                      5        10         1         8        10         4         1         5
Vardas11812         Pavarde11812                      5         7         3         7         7         5         1         1
Vardas11813         Pavarde11813                      4         6         1         2         2         4        10         2
Vardas11814         Pavarde11814                      5         3         9         2         9         9         2         6
Vardas11815         Pavarde11815                      2         4         5         8         2         7        10         8
Vardas11816         Pavarde11816                      7         8         1         1         4         4         9         7
Vardas11817         Pavarde11817                      8         1         5         3         3         8         3         9
Vardas11818         Pavarde11818                      9        10         3         9        10         9         3         3
Vardas11819         Pavarde11819                      1         2         1         7         2         9         1         6
Vardas11820         Pavarde11820                      2        10         6         5         1         9         5         2
Vardas11821         Pavarde11821                      7        10         4         4         2         6         2        10
Vardas11822         Pavarde11822                      4         9         5         4         2         9         2         5
Vardas11823         Pavarde11823                      8         2         3         5         5        10         9         2
Vardas11824         Pavarde11824                      7         6         9         4         5         5         4         4
Vardas11825         Pavarde11825                      2         2         9         8         9         5         6         5
Vardas11826         Pavarde11826                      3         2         9         8         9         4         6         9
Vardas11827         Pavarde11827                      3         5         2         6         9         5         8         1
Vardas11828         Pavarde11828                      2         6        10        10         1        10         8         9
Vardas11829         Pavarde11829                      8        10        10         9         3         9         1         9
Vardas11830         Pavarde11830                     10         6         6         5         2         1         6         9
Vardas11831         Pavarde11831                      6         4        10         5         4         6         1         5
Vardas11832         Pavarde11832                      6         7         1         8         2        10         8         4
Vardas11833         Pavarde11833                      3         2         4         9        10         9         7         4
Vardas11834         Pavarde11834                      1        10         8         7         7         7         3         3
Vardas11835         Pavarde11835                      7         8         7         2         4         5         3         2
Vardas11836         Pavarde11836                      7         4         4        10         6         9         2         6
Vardas11837         Pavarde11837                      9         5         3         6         6         9         6         1
Vardas11838         Pavarde11838                      4         3         6         8         7         8         2        10
Vardas11839         Pavarde11839                      2         7         3         1         4         3         2         1
Vardas11840         Pavarde11840                      9         3         5        10         8         1         8         5
Vardas11841         Pavarde11841                      5        10         2         6         7         6         2        10
Vardas11842         Pavarde11842                      5         6         1         6         3         4         9         4
Vardas11843         Pavarde11843                      6         6         1         9         9         6         7        10
Vardas11844         Pavarde11844                      3        10         2         7         5         6         7         8
Vardas11845         Pavarde11845                      9         9         9         6         9         9         8        10
Vardas11846         Pavarde11846                      7         8         6         6         2         5         8         6
Vardas11847         Pavarde11847                      5         7         3         8         8         9        10        10
Vardas11848         Pavarde11848                      3         1         4         8         8         4         1         6
Vardas11849         Pavarde11849                     10         3         3         1         8         8         5         3
Vardas11850         Pavarde11850                      6         9         6         1         9         2         8         3
Vardas11851         Pavarde11851                      2         5         3         2         1         1         1         7
Vardas11852         Pavarde11852                      3         2         7         3        10         2         2         8
Vardas11853         Pavarde11853                      1         1         4         3         9         9         3         5
Vardas11854         Pavarde11854                     10         8         9         3         5         1         6         6
Vardas11855         Pavarde11855                     10         8         6        10         1         8         1         6
Vardas11856         Pavarde11856                      2         5         5        10         2        10         4         3
Vardas11857         Pavarde11857                     10         8         5         6         8        10         2         4
Vardas11858         Pavarde11858                      1         6         7         9         9         2         7        10
Vardas11859         Pavarde11859                      5         8         1         2         7         3         7         7
Vardas11860         Pavarde11860                      5         9         1         4         6         9         3         3
Vardas11861         Pavarde11861                      2         6         1         1         1         9        10         7
Vardas11862         Pavarde11862                      9         7         7         4         4         8         1         4
Vardas11863         Pavarde11863                      5         9        10         8         7         8         2         1
Vardas11864         Pavarde11864                      4         5         2        10         2         9        10         4
Vardas11865         Pavarde11865                      9         1        10         4         5         4         4        10
Vardas11866         Pavarde11866                      5         8         5         2         4         8         4         9
Vardas11867         Pavarde11867                      7         3         1         4         4         2         9         2
Vardas11868         Pavarde11868                      8         9         6         2         2         3         3         4
Vardas11869         Pavarde11869                      2         7         5         3         6         3         1         9
Vardas11870         Pavarde11870                      3         1         1         5        10         9         1         8
Vardas11871         Pavarde11871                      1         1        10         8         8         3         8         7
Vardas11872         Pavarde11872                      3         4        10         5         4         7         8         1
Vardas11873         Pavarde11873                      1        10         5         7         1         9         5         2
Vardas11874         Pavarde11874                      1         4         3         2         4        10         1         7
Vardas11875         Pavarde11875                      6         5         9         6         5         2         2         1
Vardas11876         Pavarde11876                      7         8         9         1         3         8         6         9
Vardas11877         Pavarde11877                      2         4         2         7         9         5         8         6
Vardas11878         Pavarde11878                     10         6         6         1         4         8         5         4
Vardas11879         Pavarde11879                      1         3         7         4        10        10         9         3
Vardas11880         Pavarde11880                      9         3         5         2         3        10        10         9
Vardas11881         Pavarde11881                      6         9         1         8         2         3         1         3
Vardas11882         Pavarde11882                      4         4         8         4         7         2         9         3
Vardas11883         Pavarde11883                      6         4         7         5         1         2         7         6
Vardas11884         Pavarde11884                     10         6         7        10         1         2         8         6
Vardas11885         Pavarde11885                      5        10         8         6         6         5         8         4
Vardas11886         Pavarde11886                      8         9         7         7         8         7         8         6
Vardas11887         Pavarde11887                      8         7         7         8         8         7         1         5
Vardas11888         Pavarde11888                      9         3         4         5         7         1         6         9
Vardas11889         Pavarde11889                     10         8         9         4        10        10         9         4
Vardas11890         Pavarde11890                      8         8         8         4         4         2         1        10
Vardas11891         Pavarde11891                      1         7         9         1         4         1         6        10
Vardas11892         Pavarde11892                      8         1         6         6         4         2         3         3
Vardas11893         Pavarde11893                      1         1         1         7         6         9         4         2
Vardas11894         Pavarde11894                      4         9         8         9         8         6         6         1
Vardas11895         Pavarde11895                      9        10         5         4         8        10         6         2
Vardas11896         Pavarde11896                      3         8         8         5         7         6         3         8
Vardas11897         Pavarde11897                      2         2         7         2         6         4         2        10
Vardas11898         Pavarde11898                      7         7         4         2         2         2         1         6
Vardas11899         Pavarde11899                      7         1         6         6         5         7         6         5
Vardas11900         Pavarde11900                      5         3         6         3         9         6         2         4
Vardas11901         Pavarde11901                      1        10         1         7         3         3         7         2
Vardas11902         Pavarde11902                     10         4         9         3         8        10         4        10
Vardas11903         Pavarde11903                      9         8         6         9         2        10         4         6
Vardas11904         Pavarde11904                      1        10        10         8        10         8        10         9
Vardas11905         Pavarde11905                     10         8         1         3        10         4         7         7
Vardas11906         Pavarde11906                      3         3         8         5        10         2         8         3
Vardas11907         Pavarde11907                      8         9         4         2         2         1         7         8
Vardas11908         Pavarde11908                      5         2         9        10         4         4         3         4
Vardas11909         Pavarde11909                      6         7         2        10         8         4         2        10
Vardas11910         Pavarde11910                      7         4         5         4         9         6         2         9
Vardas11911         Pavarde11911                      8         2         9         3        10         6         7         5
Vardas11912         Pavarde11912                     10         4         6         8         6         3         6         9
Vardas11913         Pavarde11913                      4         3         5         3         6        10         3        10
Vardas11914         Pavarde11914                      2         1         6         2         8         3         8         1
Vardas11915         Pavarde11915                     10        10         1         6        10         3         2        10
Vardas11916         Pavarde11916                      5        10        10         4         3         1         8         2
Vardas11917         Pavarde11917                      7         7         8         7         9         7         5        10
Vardas11918         Pavarde11918                      2         4         9         8         7         4         9         1
Vardas11919         Pavarde11919                      2         4         1         8         6         4         5         8
Vardas11920         Pavarde11920                      5         7        10         5         6         7         4         4
Vardas11921         Pavarde11921                      8         3         4        10         4        10        10         4
Vardas11922         Pavarde11922                      4         5         8         6        10         7         6         1
Vardas11923         Pavarde11923                      7         1         6         7        10         7         2         1
Vardas11924         Pavarde11924                      6         7         3         1         9         4         4        10
Vardas11925         Pavarde11925                      7        10         3         4         8         3         5         7
Vardas11926         Pavarde11926                      3         6         7         7         4         4         2        10
Vardas11927         Pavarde11927                     10         3         4         2         9         8         2        10
Vardas11928         Pavarde11928                      6         7         2         8        10         5         5        10
Vardas11929         Pavarde11929                     10         6        10         5         2         2         2         4
Vardas11930         Pavarde11930                     10         1         9         3         9         9         8         8
Vardas11931         Pavarde11931                      1         7         2         2         8         3         8         6
Vardas11932         Pavarde11932                      7        10         7         4         7         2         8         5
Vardas11933         Pavarde11933                     10         5         8         7         1         9         9         4
Vardas11934         Pavarde11934                      1         2         2         7         3         1         6         5
Vardas11935         Pavarde11935                      7         6         3         2        10         5         9         7
Vardas11936         Pavarde11936                      1         4         9        10         9        10         7         3
Vardas11937         Pavarde11937                      1         1         1        10         1         9         3         2
Vardas11938         Pavarde11938                      1         5         9         7         7         4         3         3
Vardas11939         Pavarde11939                      9         4         3         3         3         1         5         7
Vardas11940         Pavarde11940                      8         9         4         9         1         7         2        10
Vardas11941         Pavarde11941                      7         8         4         6         2         2        10         4
Vardas11942         Pavarde11942                      4         7         9         4         9         3         3         7
Vardas11943         Pavarde11943                      2         8         4         2         7         8         3         3
Vardas11944         Pavarde11944                     10         2         3         9         1         5         5         1
Vardas11945         Pavarde11945                      4         8         4         7         1         4         7         4
Vardas11946         Pavarde11946                      9         4         3         8         1        10         5         4
Vardas11947         Pavarde11947                      5         3         7         3         8         7         6         9
Vardas11948         Pavarde11948                      6         6         5         8         1         7        10         7
Vardas11949         Pavarde11949                      5         2         7        10         4        10         5         7
Vardas11950         Pavarde11950                     10         7         2         6        10         3         9         8
Vardas11951         Pavarde11951                      6         8         4         5         6         3         2         1
Vardas11952         Pavarde11952                      6         6         7         4         1         9         6         8
Vardas11953         Pavarde11953                      7         4         1         2         4         4         1         4
Vardas11954         Pavarde11954                      2         3         6         5        10        10         3         9
Vardas11955         Pavarde11955                      6         2         4         2         7         2        10         9
Vardas11956         Pavarde11956                      5        10         6         1         7         6         8         4
Vardas11957         Pavarde11957                      8         8         3         4         4         5         7         3
Vardas11958         Pavarde11958                      5         4         6         2        10         2         7         1
Vardas11959         Pavarde11959                      5        10         7         7         4        10         6         9
Vardas11960         Pavarde11960                      6         5         1         7         3         4         7         3
Vardas11961         Pavarde11961                      7        10         5         9         8        10         9         1
Vardas11962         Pavarde11962                     10        10         6         1         6         3         6         1
Vardas11963         Pavarde11963                      2         5         7         5         4         4         7         7
Vardas11964         Pavarde11964                     10         7         4         6         9         9         5         7
Vardas11965         Pavarde11965                      9         4         7        10         7         3         3         1
Vardas11966         Pavarde11966                      2         2         6         8        10         4         1         9
Vardas11967         Pavarde11967                      2        10         6         8         7         8        10         5
Vardas11968         Pavarde11968                      4         4         1        10         6        10         2         9
Vardas11969         Pavarde11969                      8        10         8         1         8         7        10         1
Vardas11970         Pavarde11970                      3         4        10        10         4         9         1         4
Vardas11971         Pavarde11971                     10         8         8         2         2         4         7         3
Vardas11972         Pavarde11972                      1         3        10         7         7        10         3         5
Vardas11973         Pavarde11973                      1         2         2         6         4         2         9         2
Vardas11974         Pavarde11974                      7         6         4         9         9         1        10         6
Vardas11975         Pavarde11975                      6         2         1         9         2         9         5         8
Vardas11976         Pavarde11976                      5         2         3         1         4         7         7         9
Vardas11977         Pavarde11977                      5         7         9        10         9         3         8         2
Vardas11978         Pavarde11978                      6         9         8         3         1         6         2         2
Vardas11979         Pavarde11979                     10        10         9         5         2        10         5        10
Vardas11980         Pavarde11980                      9         6         5         7         5         4         8        10
Vardas11981         Pavarde11981                      8         5         7         2         3         6         1        10
Vardas11982         Pavarde11982                      3         3         7         7         3         9         9         7
Vardas11983         Pavarde11983                      5         6         2        10         5         1         4         9
Vardas11984         Pavarde11984                      9         8        10         8         7         9         3         7
Vardas11985         Pavarde11985                      8         2         7         7        10         8         6         4
Vardas11986         Pavarde11986                      4         3         5         2         6         7         3         4
Vardas11987         Pavarde11987                      2         7         6         5         9         2         5         4
Vardas11988         Pavarde11988                      2        10         8         9         7         4         6         7
Vardas11989         Pavarde11989                      1         9         3         9         2         2         6         9
Vardas11990         Pavarde11990                      5         8         8         3         8         8         3         3
Vardas11991         Pavarde11991                      3         7         6         3         6         6         6         6
Vardas11992         Pavarde11992                      5         9         3         2         2         6         4         8
Vardas11993         Pavarde11993                      2         6         1         8         6         7         8         1
Vardas11994         Pavarde11994                      4        10         5         9         9         5         2         5
Vardas11995         Pavarde11995                     10        10         1         8         9         8         8        10
Vardas11996         Pavarde11996                      7        10         6         1         2         9         4        10
Vardas11997         Pavarde11997                      2         2         4        10         3         3         3        10
Vardas11998         Pavarde11998                      5         9         7         9         3        10         1         8
Vardas11999         Pavarde11999                      8         6        10         5         9         4         1         5
Vardas12000         Pavarde12000                      5         7         6         5        10         4         4         2
Vardas12001         Pavarde12001                      9         7         6         7        10        10         4         1
Vardas12002         Pavarde12002                      9         8         8         1         4         4         7         2
Vardas12003         Pavarde12003                      3         2         9         7         3         6        10         4
Vardas12004         Pavarde12004                      8         7         3         7         9         5         8         4
Vardas12005         Pavarde12005                     10         8        10         1         6         4         1         3
Vardas12006         Pavarde12006                      5        10         8         5         8         4         1         9
Vardas12007         Pavarde12007                      7         1         2        10         2         3         3         1
Vardas12008         Pavarde12008                     10         4         3         4         4         1         6         5
Vardas12009         Pavarde12009                      7         3         3         5         3         4         9         2
Vardas12010         Pavarde12010                      4         6         4         4         6         6        10         8
Vardas12011         Pavarde12011                      7         6         3         3         7        10        10         4
Vardas12012         Pavarde12012                      8         9         6        10         5        10         4         6
Vardas12013         Pavarde12013                      4         6         7        10         5         2         3         9
Vardas12014         Pavarde12014                      4         8         5         1         5         3         4        10
Vardas12015         Pavarde12015                      8         6         4         4         2         7         4         7
Vardas12016         Pavarde12016                      4         8         8        10         9         6         5         7
Vardas12017         Pavarde12017                      9         9         1         8         3        10         3         2
Vardas12018         Pavarde12018                      9         6         1         9         6         1         6         9
Vardas12019         Pavarde12019                      7         5         9         5        10         5         4         3
Vardas12020         Pavarde12020                      7         5         7         7         7         1        10         9
Vardas12021         Pavarde12021                     10        10         6         6         7         6         1         8
Vardas12022         Pavarde12022                      5         4         1         7         4        10         8         1
Vardas12023         Pavarde12023                      5         2         6         8         3         8         9         7
Vardas12024         Pavarde12024                     10         4         1         4         2         9         9         9
Vardas12025         Pavarde12025                      5         1         9         4         5        10        10         7
Vardas12026         Pavarde12026                     10         6         2         7         4         1         5         2
Vardas12027         Pavarde12027                      4         7         5         8         5         3         9         3
Vardas12028         Pavarde12028                      3         5         5        10        10         4         3         8
Vardas12029         Pavarde12029                      9         7         6         1         6         2         6         4
Vardas12030         Pavarde12030                      4         8         6        10         7         1         4        10
Vardas12031         Pavarde12031                      3         9         6         3         7        10         6         8
Vardas12032         Pavarde12032                      1         9         7         6        10         9         5        10
Vardas12033         Pavarde12033                      6         6         9         8         4         8        10         6
Vardas12034         Pavarde12034                      8         2         6         1         8         8         6         8
Vardas12035         Pavarde12035                      4         3         7         9         6         5         5         6
Vardas12036         Pavarde12036                      6         5         6         9         3         3         6        10
Vardas12037         Pavarde12037                     10         6         6         8         4         4         1         4
Vardas12038         Pavarde12038                      7         5         7         9         9         8        10         4
Vardas12039         Pavarde12039                      8         6         7         3         3         8         5         9
Vardas12040         Pavarde12040                      3        10         9         6         4         6         6         7
Vardas12041         Pavarde12041                      8         2         4        10         3         1         5         6
Vardas12042         Pavarde12042                     10         2         3         5         6         7         8         2
Vardas12043         Pavarde12043                      6         5         8         2         3         6         3         7
Vardas12044         Pavarde12044                      9         8         7         9        10         1         7        10
Vardas12045         Pavarde12045                      2         9         4         1         9         1         2         5
Vardas12046         Pavarde12046                     10         4         1         9         7         7         9         8
Vardas12047         Pavarde12047                      5         5         5         8         6        10         6         1
Vardas12048         Pavarde12048                      4         3         5         8         6         4         1         1
Vardas12049         Pavarde12049                      5         3         4         2         5        10         5         6
Vardas12050         Pavarde12050                      4         9         2         8         4         2         6         2
Vardas12051         Pavarde12051                      3         6         8         3         7         9        10         5
Vardas12052         Pavarde12052                      2         5         4         4         6         2         2         7
Vardas12053         Pavarde12053                      6         4         7         2         7         6         3         3
Vardas12054         Pavarde12054                      3         6         9        10         1         4         7         1
Vardas12055         Pavarde12055                     10         3         2         5         7         2         3         7
Vardas12056         Pavarde12056                      2         1         9         1         6         3         9         5
Vardas12057         Pavarde12057                      3        10        10         9         3         8         2         7
Vardas12058         Pavarde12058                      9         6         6         1         2         8         4         8
Vardas12059         Pavarde12059                      9        10         1         7         1         4         4         6
Vardas12060         Pavarde12060                      6         6        10         5         4         7         2         9
Vardas12061         Pavarde12061                     10        10         4         1         7         5         4        10
Vardas12062         Pavarde12062                      6         2         2         1         9         4         2         9
Vardas12063         Pavarde12063                      2         2         6         7         5         9         2         7
Vardas12064         Pavarde12064                      6         4         7         2         5         5         3         5
Vardas12065         Pavarde12065                      2         4         2         3         5         6         7         7
Vardas12066         Pavarde12066                      2         2         3         4         1         5         7         2
Vardas12067         Pavarde12067                     10         4         6         2         5         6         4        10
Vardas12068         Pavarde12068                      7         8         4         9         5         3         5         8
Vardas12069         Pavarde12069                      9         5         9         9         7         8         5         7
Vardas12070         Pavarde12070                      4         5         8         5         5         3         4        10
Vardas12071         Pavarde12071                      4        10         8         1         4         4         4         5
Vardas12072         Pavarde12072                      6         9         8         5         6         8         3         6
Vardas12073         Pavarde12073                      6        10         3         4         6         4         4         4
Vardas12074         Pavarde12074                      8         4         5         4         5         9         7         9
Vardas12075         Pavarde12075                      1        10         4         7         4         1         2        10
Vardas12076         Pavarde12076                      2         8         5         8         4         1         8         6
Vardas12077         Pavarde12077                      9         6        10         8         2         8         2         3
Vardas12078         Pavarde12078                      2         8         9         9         4         4         6         2
Vardas12079         Pavarde12079                      7         6         1         6         9         5         3         8
Vardas12080         Pavarde12080                      1         9         9         1         4         4         5         3
Vardas12081         Pavarde12081                     10         2         2         1         4         5         7         2
Vardas12082         Pavarde12082                      2         8         1         9         3        10         9         2
Vardas12083         Pavarde12083                     10        10         4         4         7         1         2         2
Vardas12084         Pavarde12084                     10         7        10         8         2        10         3         1
Vardas12085         Pavarde12085                      1         2         3        10         3         4         6         8
Vardas12086         Pavarde12086                      4         2         2         2         6         8         3         1
Vardas12087         Pavarde12087                      2         8         5         6         3         5         6         4
Vardas12088         Pavarde12088                      4         3         2         4         9         6         4         9
Vardas12089         Pavarde12089                      3         6        10         5         5         9         8         3
Vardas12090         Pavarde12090                      1        10         4         9         5         2         4         7
Vardas12091         Pavarde12091                      6         2         5         8         5         8         5         7
Vardas12092         Pavarde12092                      7         5         4         1         4         1         4         2
Vardas12093         Pavarde12093                      4         5         3         1         2         9         5         5
Vardas12094         Pavarde12094                     10         3         1         4         6         7         1         4
Vardas12095         Pavarde12095                      9         9         2         1        10         7         3         5
Vardas12096         Pavarde12096                      3        10         4        10         6         4         7         2
Vardas12097         Pavarde12097                      1         4         8         7         5         6         7         2
Vardas12098         Pavarde12098                      6        10         2         8         6        10         8         1
Vardas12099         Pavarde12099                      1         3         5         9         9         9         6         4
Vardas12100         Pavarde12100                      8         7         7         7         7         2         6         6
Vardas12101         Pavarde12101                      2         4         1         6         1         1         6         1
Vardas12102         Pavarde12102                     10         6         9         7         3        10         1         5
Vardas12103         Pavarde12103                      6         1         9         8         5         8         2         1
Vardas12104         Pavarde12104                      5        10         1         5         3         6         5         3
Vardas12105         Pavarde12105                      9         5         3         4         6         7         2         6
Vardas12106         Pavarde12106                      1         3         6         8         6         3         4         8
Vardas12107         Pavarde12107                      8         2         3         4         2         2         1         7
Vardas12108         Pavarde12108                      3         8         6         1        10         3        10         2
Vardas12109         Pavarde12109                      4         3         7         5         6         8         1         7
Vardas12110         Pavarde12110                      1         2         3         5         8         1         2         7
Vardas12111         Pavarde12111                      6         9        10         8         5         3         8         7
Vardas12112         Pavarde12112                     10        10         4         4         4         5         7         5
Vardas12113         Pavarde12113                      6         9         7         3         9         1         1         5
Vardas12114         Pavarde12114                     10         5         2         6         6        10         1         9
Vardas12115         Pavarde12115                      8         9         5        10         7         1         5         9
Vardas12116         Pavarde12116                      6         2         1         2         4         8        10         3
Vardas12117         Pavarde12117                      1         1         2         3         4         6         1         1
Vardas12118         Pavarde12118                      6         7         1         5         4         6         8         9
Vardas12119         Pavarde12119                      8         1         9         2         8         5         5         7
Vardas12120         Pavarde12120                      1         9         4         8         6         8         1         7
Vardas12121         Pavarde12121                      8         3         6         8         7        10         4         6
Vardas12122         Pavarde12122                      5         3         2         8         8         2         9         3
Vardas12123         Pavarde12123                     10         3         9         2         4         3         6         6
Vardas12124         Pavarde12124                      3         3         6         1         7         4         8         3
Vardas12125         Pavarde12125                      7         7         4         7        10         5         1         2
Vardas12126         Pavarde12126                     10         6         6         8         7         5         8         9
Vardas12127         Pavarde12127                      2         9         7         8         1        10        10         6
Vardas12128         Pavarde12128                      3         7         2         3         4         6         2         3
Vardas12129         Pavarde12129                      9        10         9        10         7         5         9         8
Vardas12130         Pavarde12130                      2        10         5         7         4         8         6         9
Vardas12131         Pavarde12131                      1         4         2         8         4         4         5         4
Vardas12132         Pavarde12132                      5        10         5         4         1         3         3         7
Vardas12133         Pavarde12133                      8         8         8        10         8         7         7         9
Vardas12134         Pavarde12134                      5         3         4         1         6         3         7         4
Vardas12135         Pavarde12135                      1        10         8         8         1         9         3        10
Vardas12136         Pavarde12136                      4         5         5         9        10         7         2         5
